item_name,item_brand,item_price,item_description,item_id,item_materials
Salomon   X Ultra 5 GORE-TEX Low Hiking Shoes - Women's,Salomon,170.0,"Lightweight yet stable, the women's Salomon X Ultra 5 GORE-TEX Low hiking shoes feel agile while offering confident traction, making them as good at charging up hills as they are at tackling descents.",#245052,gore-tex
Oboz   Bridger Mid Waterproof Hiking Boots - Women's,Oboz,200.0,"Pairing classic style with modern tech, these Oboz waterproof hiking boots offer the best of both worlds. All-leather uppers are waterproof and breathable, and the deep lugs give serious grip.",#857721,b-dry waterproof/breathable membrane; waterproof nubuck leather/rubber toe cap and heel counter; nylon mesh
adidas   Terrex Free Hiker GORE-TEX 2.0 Hiking Shoes - Women's,adidas,109.83,"Providing lightweight comfort, waterproofing and support to extend your range on the trails, the women's adidas Terrex Free Hiker GORE-TEX 2.0 hiking shoes keep you moving outside, rain or shine.",#235553,gore-tex waterproof/breathable membrane; synthetic/textile
Merrell   Moab Speed 2 GORE-TEX Hiking Shoes - Women's,Merrell,126.73,Get out on the trails in wet weather. These Merrell hiking shoes have waterproof GORE-TEX membranes to keep your feet dry on rainy days. A full length rock plate helps you navigate rugged terrain.,#C04513,"gore-tex waterproof membrane; nylon ripstop/tpu; 100% recycled mesh

"
KEEN   Hightrail Waterproof Hiking Shoes - Men's,Keen,145.0,Rugged and supportive meets fast and light. The men's KEEN Hightrail Waterproof hiking shoes have an athletic feel while still providing plenty of traction and durability to take on any trail.,#246733,"keen.dry waterproof/breathable membrane

"
The North Face   Hedgehog 3 Waterproof Hiking Shoes - Men's,The North Face,135.0,"Offering more underfoot cushioning, a rugged design and waterproof membranes, the men's The North Face Hedgehog 3 Waterproof hiking shoes are great for everything from short strolls to all-day hikes.",#223776,dryvent waterproof/breathable membrane; leather/synthetic leather/ripstop/spacer mesh
On   Cloudhorizon Waterproof Hiking Shoes - Women's,On,200.0,Rain shouldn't cancel your hike. Lace up the women's On Cloudhorizon Waterproof hiking shoes and go exploring—their waterproof protection and lightweight cushioning will keep you comfy in wet weather.,#228335,recycled polyester
Counter Assault   Bear Deterrent Spray - 8.1 fl. oz.,Counter Assault,49.95,"Offering an optimal combination of spray time and distance, the Counter Assault Bear Deterrent pepper spray deploys a high-volume, atomized blast of concentrated spray to deter a bear attack.",#154930,2% capsaicin and related capsaicinoids
On   Cloudrock Mid Waterproof Hiking Boots - Men's,On,240.0,"Stay light and quick on your feet on day hikes in these waterproof boots from On. They're cushioned, comfortable and agile. An updated construction prevents pressure points for a snug and comfy fit.",#242761,"cosmo waterproof membrane; 100% recycled polyester
"
On   Cloudrock Low Waterproof Hiking Shoes - Men's,On,200.0,"Ideal for hikers who pack light and want to move fast on mountainous terrain, the men's On Cloudrock Low Waterproof hiking shoes are cushioned, comfortable and lightweight to keep you feeling agile.",#242762,"cosmo waterproof membrane; 100% recycled polyester
"
Columbia   Newton Peak Waterproof Hiking Boots - Women's,Columbia,100.0,"Don't let wet weather cancel your hike. With these waterproof Columbia hiking boots, you can get out rain or shine. Omni-Max™ tech underfoot offers lightweight performance, stability and support.",#248462,"omni-tech; suede

"
Columbia   Global Adventure Bucket Hat - Women's,Columbia,16.83,"A stylish lid that's perfect for travel, the women's Columbia Global Adventure bucket hat is easy to pack—simply roll it up and tuck it away in your purse, pack or luggage.",#242583,58% paper/25% polyester/17% polyethylene
Altra   Lone Peak 9 Waterproof Mid Hiking Boots - Men's,Altra,190.0,"Whether you're thru-hiking or day trekking, the men's Altra Lone Peak 9 Waterproof Mid hiking boots will help you get to your destination. They have a lightweight feel, ankle support and protection.",#242776,waterproof bootie construction; recycled polyester mesh; altra ego foam
Ben's   Spray Pump Insect Repellent - 30 Percent DEET - 1.25 fl. oz,Ben's,5.95,"Ben's 30% DEET insect repellent provides up to 6 hrs. of protection against mosquitoes, ticks, flies, chiggers, fleas and no-see-ums.",#800705,deet (30%)
Salomon   X Ultra 5 Mid GORE-TEX Hiking Boots - Men's,Salomon,185.0,"Equally comfortable for charging up hills and tackling descents, the men's Salomon X Ultra 5 Mid GORE-TEX hiking boots offer dependable, confidence-boosting traction, so you can explore more trails.",#245046,gore-tex; synthetic/textile
KEEN   Headout Waterproof Hiking Shoes - Men's,Keen,100.73,These everyday hikers from KEEN have go-anywhere versatility. Waterproof membranes help keep your feet dry in any weather. And suede uppers take you from trail to town with ease.,#C05004,keen.dry waterproof/breathable membrane; waterproof leather; performance mesh
REI Co-op   Multi Towel Mini,REI Co-op,9.95,Debating whether to tote a small towel on your next hike or backpacking trip? The REI Co-op Multi Towel Mini weighs less than an ounce and saves room in your pack with its compact size.,#247514,70% recycled polyester/15% polyester/15% nylon
Salomon   X Ultra 5 Mid GORE-TEX Hiking Boots - Women's,Salomon,185.0,"Equally comfortable for charging up hills and tackling descents, the women's Salomon X Ultra 5 Mid GORE-TEX hiking boots offer dependable, confidence-boosting traction, so you can explore more trails.",#245050,gore-tex
REI Co-op   Trailmade Trekking Poles - Pair,REI Co-op,79.95,Bring extra stability on your next hike. The easily adjustable REI Co-op Trailmade trekking poles put more support on the ground for extra balance on uneven terrain.,#216314,7065 aluminum
Merrell   Moab 3 Mid Waterproof Hiking Boots - Women's,Merrell,170.0,"Step into the outdoors with confidence and out-of-the-box comfort in the women's Merrell Moab 3 Mid Waterproof hiking boots. This generation is even softer, grippier and more supportive than before.",#237486,merrell dry waterproof membrane; pig suede leather/mesh
Merrell   Speed Eco Mid Waterproof Hiking Boots - Women's,Merrell,104.73,Keep your feet comfy and capable on the trail with these waterproof Merrell hiking boots. Recycled materials set these apart from other footwear in the Merrell lineup.,#C00944,merrell dry waterproof membrane; jacquard knit (82% recycled); 100% recycled mesh; rubber (30% recycled)
Merrell   Moab 3 Mid Hiking Boots - Women's,Merrell,96.73,"Durable, versatile and comfortable right out of the box, the women's Merrell Moab 3 Mid hiking boots have more supportive insoles and more cushioned midsoles than the previous generation.",#251841,pigskin suede leather/breathable mesh; recycled mesh
humangear   GoPee Stand-to-Pee Device,humangear,15.95,"Make backcountry bathroom breaks a breeze with the humangear GoPee Stand-to-Pee Device. It quickly converts from a pocket-size rectangle to a sleek, angled funnel with just a few snaps.",#232589,polypropylene
REI Co-op   Flash 22 Pack,REI Co-op,59.95,"Lean, clean and well appointed, the REI Co-op Flash 22 pack is the perfect size for day hikes and done-in-a-day summits. It features a removable sit pad for enjoying those well-earned vistas.",#227953,70-denier recycled ripstop nylon with polyurethane coating (bluesign approved)
Whistles for LIFE   Tri-Power Whistle,Whistles for LIFE,8.95,This Tri-Power Whistle is an essential piece of safety equipment to have on you during outdoor activities.,#100521,abs plastic
HART Outdoor   Day Hike First-Aid Kit,HART Outdoor,15.95,"Be prepared for the typical needs of 2 people on a short day trip with the compact HART Outdoor Day Hike first-aid kit. Clear compartments keep medical supplies organized, visible and easy to access.",#132219,polyester/peva
Timberland   GreenStride Motion6 Sneakers - Men's,Timberland,96.73,Step into comfort with these Timberland sneakers. They're made with a blend of leather and ReBOTL™ fabric. And they have comfy midsoles made with renewable resources.,#C04663,premium timberland leather and rebotl fabric; rebotl fabric; rubber
Asolo   Eldo GV Approach Shoes - Men's,Asolo,141.73,"Head to the mountains, the crag or your local park. These Asolo men's approach shoes provide protection and support on days when you'll be spending some time on your feet.",#C03869,polyester; molded eva foam
KEEN   Versacore Speed Shoes - Women's,Keen,97.73,Need shoes that can do everything you want to do outside? Here they are. These KEEN all-around athletic hikers can easily go from an outside workout to a day on the trail.,#C03746,performance mesh
La Sportiva   TX4 EVO Mid GTX Approach Boots - Women's,La Sportiva,239.0,"Whether the trail is the objective or just the first step to reach your climb, the women's waterproof La Sportiva TX4 EVO Mid GTX approach boots are built to navigate the technical terrain.",#229699,"nubuck leather; cushioned tongue with recycled fabric; recycled rubber rand/toe cap; mythos lacing system with recycled laces/hooks; fabric forefoot wrap; traverse injection memlex with co-molded tpu shank and 7% recycled eva; ess resole platform; vibram megagrip rubber with impact brake system, climbing zone platform and 3 mm lugs; recycled air mesh heel; bluesign-certified epe gore-tex extended comfort

"
Asolo   Eldo LTH GV Approach Shoes - Men's,Asolo,200.0,"Whether you're heading to the mountains, crag or your local park, the men's Asolo Eldo LTH GV approach shoes provide protection and support for days when you'll be spending some time on your feet.",#237875,water-resistant suede; molded eva foam; vibram megagrip rubber; gore-tex waterproof/breathable membrane
Asolo   Eldo Mid LTH GV Approach Boots - Men's,Asolo,210.0,"Ideal for technical approaches, day hikes or weekend overnights, the Asolo Eldo Mid LTH GV men's approach boots balance waterproof protection, lightweight comfort and all-terrain traction.",#237631,water-resistant suede; molded eva foam; vibram megagrip rubber; gore-tex waterproof/breathable membrane
AKU   Rock DFS II GTX Approach Shoes - Men's,Aku,200.0,"Designed with the AKU-exclusive Dual Fit System, the men's AKU Rock DFS II GTX Approach Shoes deliver both maximum comfort during your approach and a high-performance fit while climbing or scrambling.",#246561,leather/synthetic microfiber
The North Face   Hedgehog 3 Mid Waterproof Boots - Women's,The North Face,108.73,"An update to a classic, these women's boots from The North Face offer more cushioning underfoot. They have a rugged design and a waterproof DryVent™ membrane, which make them perfect for hiking.",#C05268,leather/synthetic leather/durable ripstop/spacer mesh; dryvent waterproof membrane; eva
La Sportiva   TX Guide Leather Approach Shoes - Women's,La Sportiva,97.73,"Speed and comfort marry durability and stability in La Sportiva TX Guide Leather approach shoes for women. They can travel on nearly any terrain whether you're climbing, running, hiking or walking.",#239259,nubuck/rough-out leather; heel and toe caps: polyurethane tech-lite
Arc'teryx   Konseal Approach Shoes - Women's,Arc'teryx,190.0,"Rugged trails or 4th-class climbing, these Arc'teryx approach shoes are up for it. The outsoles can smear up slabs and descend softer ground. Carbon-fiber midsole shanks add stability.",#249771,nubuck leather; compressed eva
Scarpa   Rapid LT Approach Shoes - Women's,Scarpa,169.0,"Trail-ready and approach-capable, the Scarpa Rapid LT women's shoes combine the friction of Vibram® Megagrip soles withe the lightweight, breathable support of knit uppers with full-perimeter rands.",#246018,polyester mesh; tpu overlays
La Sportiva   TX4 EVO Mid GTX Approach Boots - Men's,La Sportiva,239.0,"Whether the trail is the objective or just the first step to reach your climb, the men's La Sportiva TX4 EVO Mid GTX waterproof approach boots are built to navigate the technical terrain.",#229697,"nubuck leather; cushioned tongue with recycled fabric; recycled rubber rand/toe cap; mythos lacing system with recycled laces/hooks; fabric forefoot wrap; traverse injection memlex with co-molded tpu shank and 7% recycled eva; ess resole platform; vibram megagrip rubber with impact brake system, climbing zone platform and 3 mm lugs; recycled air mesh heel; bluesign-certified epe gore-tex extended comfort

"
La Sportiva   TX Guide Approach Shoes - Women's,La Sportiva,199.0,"Built to move fast and light on vertical terrain, the women's La Sportiva TX Guide approach shoes draw inspiration from speedy trail runners and techy rock shoes for support, comfort and grip.",#165425,"ultra-weave jacquard textile/thermoplastic polyurethane reinforcements

"
KEEN   Revel IV High Polar Boots - Men's,Keen,210.0,"Don't let wild weather keep you indoors. Your feet will love the warmth and waterproof protection of the men's KEEN Revel IV High Polar boots, rated to -40°F for comfort in extreme cold.",#179279,keen.dry waterproof breathable membrane
Timberland   Motion Access Low Lace-Up Sneakers - Women's,Timberland,89.73,Make your way from city to trail in these Timberland Motion Access sneakers. They feature a supportive TimberCush™ comfort system and TimberGrip™ lug outsoles. And they are made with recycled fabric.,#C04667,rebotl fabric
Salewa   Wildfire Edge Approach Shoes - Men's,Salewa,125.73,"Switch between hiking and climbing modes to tackle any terrain in these technical approach shoes from Salewa. They provide a precise yet flexible fit, good support and aggressive grip.",#255394,exa shell over-injected 3d cage; 1.6 mm suede leather
La Sportiva   Prodigio Hike GTX Hiking Shoes - Men's,La Sportiva,199.0,"Designed for hikers who want to move efficiently across rugged trails and mountain terrain, the men's La Sportiva Prodigio Hike GTX shoes are your ticket to exploring new trails.",#245849,bluesign-certified epe gore-tex extended comfort membrane
Cotopaxi   Subo Pants - Men's,Cotopaxi,44.83,"Lightweight and movement-friendly, the Cotopaxi Subo men's pants are constructed from a sun-protective, water-resistant fabric to help you climb higher no matter your pursuit.",#209430,90% recycled nylon/10% spandex
Danner   Panorama Waterproof Low Hiking Shoes - Men's,Danner,149.95,"You're packed up—now lace up the dependable Danner Panorama Waterproof Low hiking shoes and go. Designed to take you farther, these men's hiking shoes are comfortable and stable for trail adventures.",#239546,danner dry 2-layer waterproof/breathable laminate
Carolina Mfg.   Tie Dye Bandana,Carolina Mfg.,6.0,The Carolina Mfg. Tie Dye bandana features bright color combinations to add pizzazz to your hiking wardrobe.,#805568,cotton
Outdoor Research   Insect Shield Brim Hat,Outdoor Research,26.83,Fend off insects and stay shaded from the sun with the Insect Shield Brim Hat from Outdoor Research. It's treated with Insect Shield® and provides UPF 40 protection.,#794186,60% recycled nylon/40% bluesign® approved nylon
REI Co-op   Stormhenge 850 Down Hybrid Jacket - Men's,REI Co-op,279.0,Wish your favorite puffy was waterproof? Wish granted. The men's REI Co-op Stormhenge 850 Down Hybrid jacket combines goose down and recycled insulation in a HydroWall™ waterproof/breathable shell.,#234790,"94% recycled ripstop nylon/3% nylon/3% polyester (bluesign approved); hood, shoulders, lower body, cuffs: recycled nylon with polyurethane coating (bluesign approved)"
Vuori   Meta Pants Athletic Slim - Men's,Vuori,101.93,The men's Vuori Meta Athletic Slim pants let you get away with wearing super comfortable pants to work—then take them on adventures on your days off.,#135816,polyester
Cotopaxi   Teca Fleece Headband,Cotopaxi,20.0,"When the chilly weather rolls in, reach for the Cotopaxi Teca Fleece headband to keep your ears warm. This cozy and colorful headband is great for everything from autumn hikes to snow day outings.",#211161,recycled polyester fleece
REI Co-op   Flash Merino Wool Lightweight Quarter Socks,REI Co-op,17.95,"The REI Co-op Flash Merino Wool Lightweight quarter socks are our most popular summer-weight hiking socks for good reason—they're naturally breathable, sweat wicking, quick drying and odor resistant.",#210626,45% merino wool/44% nylon/8% polyester/3% spandex
Carolina Mfg.   Tie Dye Bandana,Carolina Mfg.,6.0,The Carolina Mfg. Tie Dye bandana features bright color combinations to add pizzazz to your hiking wardrobe.,#805568,cotton
Fjallraven   Vidda Pro Ventilated Trousers - Men's,Fjallraven,180.0,"Beloved fan favorites, these Fjallraven Vidda Pro Ventilated trousers have been updated with improved ventilation and a slimmer fit that doesn't sacrifice the mobility your trekking ventures require.",#229159,g-1000: 65% recycled polyester/35% organic cotton
KUHL   Renegade Rock Pants - Men's,KUHL,99.0,"Designed with climbers in mind, the KUHL Renegade Rock pants feature a tapered fit and durable soft-shell fabric made for long days on the approach and at the crag.",#228202,95% nylon/5% spandex
Cotopaxi   Subo Pants - Men's,Cotopaxi,44.83,"Lightweight and movement-friendly, the Cotopaxi Subo men's pants are constructed from a sun-protective, water-resistant fabric to help you climb higher no matter your pursuit.",#209430,90% recycled nylon/10% spandex
REI Co-op   Rainier Rain Pants - Men's,REI Co-op,99.95,"If you don't like the weather on the trail, wait 5 minutes. Or pull on the waterproof, breathable REI Co-op men's Rainier rain pants for protection for when the dark clouds don't pass.",#227731,100% recycled ripstop nylon (bluesign approved)
Patagonia   Capilene Cool Daily Shirt - Men's,Patagonia,45.0,"Work out and go out, all in the same clothing. The men's Patagonia Capilene Cool Daily shirt provides comfort for running, climbing or just hanging out with your friends.",#143349,solids: recycled polyester jersey; heathers and cross-dyes: 50% polyester/50% recycled polyester jersey
Free Country   Nylon Stretch Belted Pants - Men's,Free Country,59.73,"Whether your trek is on wooded trails or just down the block, these men's Free Country pants are ready for any activity, with plenty of pocket space for your on-the-go essentials.",#245716,94% nylon/6% spandex
REI Co-op   Activator Pants - Men's,REI Co-op,99.95,What's your perfect pair of trail pants? Wind-resistant and water-repellent? Breathable and stretchy? Plenty of secure pockets? That's the men's REI Co-op Activator soft-shell pants!,#234906,63% nylon/26% polyester/11% spandex (bluesign approved)
Arc'teryx   Beta SL Jacket - Men's,Arc'teryx,500.0,"Made for alpine adventures, this Arc'teryx shell has GORE-TEX for waterproof, windproof protection. Pit zips provide venting. It also has a built-in RECCO® reflector. A trim fit allows easy layering.",#235112,"3l 40-denier x 70-denier gore-tex epe with c-knit backer technology, plain weave recycled nylon, jet dyed, fc0 durable water repellent (dwr)"
Smartwool   Hike Classic Edition Light Cushion Second Cut Crew Socks,Smartwool,21.0,"An iconic pair, these Smartwool merino socks were reimagined to reduce waste and enhance durability and comfort. They're made to feel good on trail days.",#243850,33% merino wool/33% unknown fiber content mixed fibers/33% nylon/1% elastane
Patagonia   Capilene Cool Daily Graphic T-Shirt  - Men's,Patagonia,55.0,"Soft, quick-drying and stretchy, the men's Patagonia Capilene Cool Daily Graphic T-shirt offers versatile performance and comfort for whatever you've got planned.",#143348,solids: 3.7 oz. recycled polyester jersey; heathers and cross-dyes: 4.1 oz. polyester (50% recycled) jersey
REI Co-op   650 Down Hoodie - Men's,REI Co-op,149.0,"Bundle up for a crisp air, chilly walks and crunchy leaves in the REI Co-op men's 650 Down hoodie. This everyday hoodie boasts recycled materials and a windproof shell to keep you warm in wild winds.",#221638,recycled ripstop nylon (bluesign approved)
Arc'teryx   Atom Insulated Vest - Men's,Arc'teryx,200.0,Looking for warmth with a smaller footprint for chilly hikes or climbs? Pull on the men's Arc'teryx Atom insulated vest. It also works well layered under a shell for touring and wet winter objectives.,#242921,"recycled 20-denier nylon plain weave weft stretch fc0 durable water repellent (dwr), 58 g/m2"
Smartwool   Hike Classic Edition Full Cushion Over The Calf Socks,Smartwool,20.73,"Set your feet up for a great day on the trails with the Smartwool Hike Classic Edition Full Cushion Over The Calf Socks. With max padding and flat-knit toe seams, they're made for comfortable hiking.",#254301,71% merino wool/20% recycled nylon*/8% nylon/1% elastane (*specific percentage of recycled nylon will vary)
REI Co-op   XeroCloud 3L Rain Jacket - Men's,REI Co-op,189.0,"Meet the most technical REI Co-op backpacking shell yet: our XeroCloud 3L men's rain jacket. It provides 3-layer waterproof protection—and it has stretchy fabric, pit zips and a packable pocket.",#242158,72% recycled nylon/28% recycled polyester (bluesign approved) with jersey backer
Sunday Afternoons   Ultra Adventure Hat,Sunday Afternoons,50.0,"Hear that? It's the call of the wild. With the Sunday Afternoons Ultra Adventure Hat, you can bring your own shade with you wherever your adventures lead.",#894435,88% nylon/12% polyester
KUHL   Klash Pants - Men's,KUHL,139.0,"Designed for year-round performance, the men's KUHL Klash pants have added abrasion resistance and a durable water repellent (DWR) finish to hold up to a multitude of activities.",#228278,72% nylon/20% polyester/8% spandex
Smartwool   Performance Hike Light Cushion Panorama Crew Socks - Men's,Smartwool,25.0,"With the comfort, durability and body-mapped breathability of the men's Smartwool Performance Hike Light Cushion Panorama crew socks, you'll feel light as air reaching those summit views.",#230206,54% merino wool/37% recycled nylon/6% nylon/3% elastane
Smartwool   Performance Hike Targeted Cushion Ankle Socks - Men's,Smartwool,21.0,"Support your feet through all types of terrain in the men's Smartwool Performance Hike Targeted Cushion ankle socks. Breathable, durable and comfortable, they'll keep your feet happy on the trails.",#237033,55% merino wool/36% recycled nylon/6% nylon/3% elastane
Smartwool   Performance Hike Light Cushion Ankle Socks - Men's,Smartwool,22.0,"Perfect fit. Powerful durability. That's what you get when you put on the Smartwool Performance Hike Light Cushion ankle socks, which help you push any summit or enjoy any trail in total comfort.",#189311,56% merino wool/31% recycled nylon/11% nylon/2% elastane
Arc'teryx   Beta Jacket - Men's,Arc'teryx,400.0,"Made with a GORE-TEX membrane that's light and strong, the men's Arc'teryx Beta Jacket delivers reliable waterproof, windproof, breathable protection to help you weather stormy days.",#228617,"3-layer 80-denier gore-tex expanded polyethylene (epe) with c-knit backer technology, plain weave recycled nylon, beam dyed, fc0 dwr"
KUHL   Deceptr Pants - Men's,KUHL,99.0,"After-work hike on your mind? The men's KUHL Deceptr pants combine modern, office-ready style with rugged, water-resistant fabric that's up for the toughest trails.",#227969,76% nylon/15% elastane/9% polyester
prAna   Organic Headband,prAna,11.73,"Enjoying the outdoors is even better when your hair is not in your face. Tromp the trails distraction-free wearing this prAna Organic headband, made of organically grown cotton with a bit of stretch.",#211059,94% organically grown cotton/6% elastane
Black Diamond   Deploy Wind Hood Gloves,Black Diamond,59.95,"Train year-round without numb fingers in these Black Diamond gloves. They're made from soft, wicking fleece and have easily deployable hoods to shield your hands from wind and rain.",#250291,polyester with mapped silicone; body: 88% recycled polyester/12% elastane; hood: 100% nylon
Columbia   Flare Gun Heavyweight Flannel Shirt - Men's,Columbia,80.0,"A warm, winter-weight flannel, this Columbia shirt is perfect for campfire hangouts and forest hikes alike. Toss it on any time you want a little extra warmth without the bulk of a jacket.",#250767,84% polyester/14% rayon/2% elastane
Cotopaxi   Sumaco Shirt - Men's,Cotopaxi,41.83,"From local trails to thousand-mile thru-hikes, the men's Cotopaxi Sumaco shirt delivers built-in sun protection and vented breathability in a breezy, comfortable fit.",#230713,102 g 93% recycled nylon/7% spandex
Buff   CoolNet UV+ Multifunctional Headband,Buff,19.0,"Stay outside longer with the Buff CoolNet UV+ Multifunctional headband. Made from recycled fabric with moisture-management and sun-protective tech, it lifts sweat away from your skin to keep you dry.",#146020,95% repreve® polyester/5% elastane
Saxx   DropTemp All Day Cooling Hoodie - Men's,Saxx,34.83,"Thanks to its evaporative cooling tech, the men's Saxx DropTemp All Day Cooling hoodie is a go-to layer to keep cool under the hot sun—whether you're boating, boarding or staying on the beach.",#230293,44% polyester/43% recycled polyester/13% elastane
Snow Peak   Dry Thermal Long-Sleeve T-Shirt,Snow Peak,84.95,"Quick-drying for active adventures, this Snow Peak long-sleeve shirt is smooth on the inside for a soft feel on your skin. The outer waffle texture enhances moisture control.",#C02655,100% recycled polyester
Columbia   Windward II Shirt Jacket - Men's,Columbia,110.0,"A go-to top you'll reach for year after year, this Columbia shirt jacket has a cozy fleece lining. It delivers the look of a classic button-up with the comfort of a soft fleece.",#250769,100% polyester fleece
Columbia   Pike Lake Novelty Insulated Jacket - Men's,Columbia,150.0,This Columbia jacket is built for big-time warmth. It combines synthetic insulation and heat-reflective tech. Adjustable features help seal out the cold. And it's water-repellent.,#251385,100% nylon
Outdoor Research   Argon T-Shirt - Men's,Outdoor Research,39.73,"A technical first layer composed mostly of recycled polyester, this Outdoor Research Argon shirt uses AirVent moisture management to keep you cool, dry and stink-free while hiking and back at camp.",#210271,83% recycled polyester/11% polyester/6% spandex
Mountain Equipment   Lumiko Zip-T Pullover Shirt - Men's,Mountain Equipment,99.95,"When you work up a sweat on a lung-burning approach, you need a lightweight layer that dries quickly. Cue the men's Mountain Equipment Lumiko Zip-T pullover with its close fit and performance fleece.",#225107,93% recycled polyester/7% elastane
Columbia   Silver Leaf Lite Hooded Insulated Jacket - Men's,Columbia,200.0,Don't let cold weather get in the way of getting out on the trail. This Columbia jacket has advanced rain- and stain-repellency and hybrid stretch fabric. Omni-Heat™ insulation holds in warmth.,#251383,82% nylon/18% elastane
Fjallraven   Abisko Hybrid Trail Shorts - Men's,Fjallraven,125.0,"Designed for trekking, the men's Fjallraven Abisko Hybrid Trail shorts give you excellent freedom of movement to keep you comfortable whether you're strolling or scrambling down the trail.",#247859,front: g-1000 lite stretch: 52% recycled polyester/35% organic cotton; back: 88% recycled polyamide/13% polyester (t400)/12% elastane
Columbia   Landroamer Quilted Shirt Jacket - Men's,Columbia,110.0,"Warm and comfortable, this quilted Columbia shirt jacket is one you can wear on and off the trail. It's made from soft yet durable 100% cotton and has hand pockets for added utility.",#238036,100% cotton; 100% nylon 210t taffeta
Columbia   Sweater Weather Quarter Snap Pullover - Men's,Columbia,90.0,"When the forecast is for chilly weather, layer up with this Columbia pullover. It's cut from smooth, knit fabric that's soft and cozy on the interior. A quarter-length snap closure lets you vent heat.",#250990,100% polyester sweater-face fleece
Arms of Andes   160 Ultralight Alpaca Wool Base Layer Leggings - Men's,Arms of Andes,95.0,"Made for all-day comfort, these Arms of Andes base layer leggings are lightweight and breathable. Soft alpaca wool wicks away sweat during long hikes or hard workouts.",#253475,100% alpaca wool
prAna   Encinitas Reversible Insulated Vest - Men's,prAna,144.0,Stay outside longer with this insulated prAna reversible vest. It keeps you warm after the sun sets with its recycled polyester insulation. And it gives you 2 looks to choose from.,#C01386,100% recycled nylon
Columbia   Summit Valley Woven Long-Sleeve Shirt - Men's,Columbia,55.93,"A versatile piece for town, trail and travel, the men's Columbia Summit Valley Woven Long-Sleeve shirt has built-in sun protection and sweat-wicking technology for wherever your days goes.",#249366,86% polyester/14% elastane
Columbia   Pike Lake II Hooded Insulated Jacket - Men's,Columbia,160.0,"With wide baffles, this Columbia puffer battles low temps and wet weather. Synthetic insulation and heat reflectivity keep you warm. A durable water repellent (DWR) coating resists the damp.",#251384,100% recycled polyester
Outdoor Research   Headwall GORE-TEX 3L Rain Pants - Men's,Outdoor Research,399.0,"A premium layer for alpine adventures, the men's Outdoor Research Headwall GORE-TEX 3L rain pants feature waterproof/breathable protection from the elements and full-length side zips for easy on/off.",#236456,"bluesign approved gore-tex 3-layer, 100% recycled polyester 75-denier shell (bluesign approved); scuff guard: 85% nylon/15% kevlar"
Black Diamond   First Light Hybrid Insulated Hoodie - Men's,Black Diamond,171.73,"The men's Black Diamond First Light Hybrid insulated hoodie offers warmth, breathability and freedom of motion through predawn starts, headlamp descents and everything in-between.",#174903,93% nylon/7% elastane
Mammut   Selun FL Sun Hoodie - Men's,Mammut,66.73,"Cover all your outdoor bases with the men's Mammut Selun FL Sun hoodie. Quick-drying sun-protective fabric, a relaxed fit and offset seams combine to deliver comfort and performance in equal measure.",#236316,92% polyester/8% spandex
Snow Peak   Dry Thermal T-Shirt,Snow Peak,74.95,"Quick-drying and wicking for active adventures, this Snow Peak T-shirt is smooth on the inside for a soft feel on your skin. The outer waffle texture enhances moisture control.",#C02654,100% recycled polyester
Columbia   Mountaindale Shirt - Men's,Columbia,33.73,"Water and stain-repellent, this Columbia short-sleeve shirt is great for town, trail or travel. The moisture-wicking fabric keeps you cool when the day heats up. Two chest pockets can hold essentials.",#C02093,100% textured poplin nylon
KUHL   Dissipatr Air Pants - Men's,KUHL,58.83,"Ultralightweight and highly durable, the adventure-ready men's KUHL Dissipatr Air pants keep you cool and comfortable when temperatures rise while you're hiking up the trail.",#243296,88% recycled nylon/12% elastane
Columbia   Sequoia Grove Full-Zip Fleece Jacket - Kids',Columbia,39.93,"Soft, warm and sustainable, the kids' Columbia Sequoia Grove Full-Zip fleece jacket is made with extra-cozy recycled fleece, for a layer they'll love tossing on any time there's a chill in the air.",#234829,100% recycled polyester
Darn Tough   Light Hiker Micro Crew Socks - Kids',Darn Tough,20.0,"These trail-ready kids' Darn Tough Light Hiker Micro Crew socks are redesigned with increased breathability, smooth ribbing, uppers that stay put and extended cushioning over the Achilles tendons.",#154493,54% nylon/43% merino wool/3% lycra spandex
Darn Tough   Sal Lightweight Micro Crew Cushion Socks - Kids',Darn Tough,20.0,"Spun from a merino wool blend for young nature lovers, the Darn Tough Sal Lightweight Micro Crew Cushion socks for kids will keep their feet warm, comfortable and blister-free for happier trail days.",#229780,50% nylon/47% merino wool/3% lycra spandex
Columbia   Arcadia II Jacket - Girls',Columbia,55.0,"A must-have for rainy weekend hikes and drizzly school commutes, the girls' Columbia Arcadia II jacket offers waterproof coverage with full seam sealing and a soft mesh lining for comfort on the go.",#234832,100% nylon
Columbia   Steens Mt II Fleece Jacket - Boys',Columbia,31.49,"Made from 250g MTR™ fleece, the all-season Columbia Steens Mt II fleece jacket is as rugged, warm and durable as it is soft. It works well on its own and also layers easily under a shell jacket.",#112116,polyester fleece
Darn Tough   Van Wild Socks - Kids',Darn Tough,20.0,"Ready to hit the trails or head out on everyday journeys, the kids' Darn Tough Van Wild socks keep your little one's feet comfy wherever they play, hike and explore.",#205963,49% nylon/46% merino wool/5% lycra spandex
